dvanáct;dv-a-náct
problémy;problém-y
bJElostí;bJEl-ost-í
blOd;blOd
neleťel;ne-leť-e-l
tiXýX;tiX-ý-X
záXranci;zá-Xran-c-i
actu;actu
hranice;hran-ic-e
Xlapík;Xlap-ík
sféry;sfér-y
angličani;angl-ič-an-i
původ;pů-vod
heroickO;hero-ic-k-O
vyvrhel;vy-vrh-e-l
bořivá;boř-iv-á
nezaslOžím;ne-za-slOž-í-m
znásilňovat;z-ná-sil-ň-ova-t
užívat;u-ží-v-a-t
předsedovi;před-sed-ovi
uspokojivého;u-s-po-koj-i-v-é-ho
zjednodušovali;z-jedn-o-duš-ova-l-i
ťežkými;ťež-k-ý-m-i
mosazí;mosaz-í
přítomnýX;pří-t-o-m-n-ý-X
berthelota;berthelot-a
šem;š-em
lidskýX;lid-sk-ý-X
podstOpit;pod-stOp-i-t
výpovJEď;vý-po-vJEď
zrušena;z-ruš-en-a
supranaturalismu;supra-natur-al-ism-u
pomáhají;po-máh-aj-í
hrdinská;hrd-in-sk-á
portfej;portfej
než;než
pomstít;po-mst-í-t
záMŇErů;zá-MŇEr-ů
neutratil;ne-u-trat-i-l
vyXován;vy-Xov-á-n
krapet;krap-et
zpJEvem;z-pJEv-e-m
osoba;o-sob-a
proboha;pro-boh-a
objeviti;ob-jev-i-ti
zzzastřelili;zzzastřel-i-l-i
šestatřicet;šest-a-tř-i-cet
najíst;na-jís-t
motiv;motiv
filozofického;filo-zof-ic-k-é-ho
nestalo;ne-sta-l-o
sedmnáctého;sedm-náct-é-ho
vindry;vindr-y
Xytli;Xyt-l-i
sobecky;sob-ec-k-y
osvJEdčené;o-s-vJEd-č-en-é
eKSperimentálním;eKSperi-ment-ál-n-í-m
činů;čin-ů
nadto;nad-t-o
ubohá;u-boh-á
tatrmani;tatrman-i
určení;urč-en-í
znamenaly;znam-en-a-l-y
hrály;hrá-l-y
výkonu;vý-kon-u
panebože;pan-e-bož-e
kamennýX;kamen-n-ý-X
namáhal;na-máh-a-l
cikán;cikán
empirika;empri-ik-a
boží;bož-í
mlynáři;ml-yn-ář-i
heroiny;hero-in-y
tváře;tvář-e
hOdek;hOdek
pomoci;po-moc-i
syna;syn-a
indii;ind-i-i
hadr;hadr
vJEdeckého;vJEd-ec-k-é-ho
přehazovat;pře-haz-ova-t
kulaté;kul-at-é
zívaje;zív-aj-e
vážností;váž-n-ost-í
předvídati;před-víd-a-ti
nevidí;ne-vid-í
lesklý;lesk-l-ý
jako;jako
statcíX;stat-c-í-X
skládat;s-klád-a-t
nepřišli;ne-při-š-l-i
nepřisvJEdčil;ne-při-s-vJEd-č-i-l
divnému;div-n-é-mu
dali;d-a-l-i
uviďeli;u-viď-e-l-i
kutálel;kutál-e-l
vyndal;vy-nd-a-l
slavík;slavík
nevyznám;ne-vy-zn-á-m
ďedečku;ďed-eč-k-u
rukavic;ruk-av-ic
modláky;modl-ák-y
řezat;řez-a-t
nejlíbezňejším;nej-líb-ez-ň-ej-š-í-m
kamaráde;kamarád-e
idealistickýX;ideal-ist-ic-k-ý-X
viďelo;viď-e-l-o
mu;mu
veškeré;veš-k-er-é
castrogiovanni;castrogiovanni
tebO;t-eb-O
jamesův;james-ův
uplatňují;u-plat-ň-u-j-í
zhubl;z-hub-l
podržujeme;po-drž-u-j-e-me
nastavit;na-stav-i-t
hučí;huč-í
vstaň;v-sta-ň
předků;před-k-ů
pluh;pluh
osvobodit;o-svobod-i-t
huba;hub-a
profesionální;pro-fes-ion-ál-n-í
koňe;koň-e
plačící;plač-í-c-í
zmije;zmij-e
královském;král-ov-sk-é-m
čertu;čert-u
kýble;kýbl-e
vdanO;vd-a-n-O
moralistická;moral-ist-ic-k-á
českO;čes-k-O
dosvJEdčím;do-s-vJEd-č-í-m
rádža;rádž-a
hOževnatá;hOžev-n-at-á
ďetinství;ďet-in-stv-í
pomohla;po-moh-l-a
slezl;s-lez-l
afriky;afrik-y
produkty;pro-dukt-y
ďelostřelectva;ďel-o-střel-ec-tv-a
bohatO;boh-at-O
nemůžeme;ne-můž-e-me
princeznu;princ-ez-n-u
jireček;jireček
sňežkO;sňežk-O
svatá;svat-á
způsobným;z-pů-sob-n-ý-m
lidstva;lid-stv-a
pOšťel;pOšť-e-l
modrO;modr-O
vrahům;vrah-ům
vlhce;vlh-c-e
obXod;ob-Xod
kleci;klec-i
hluXý;hluX-ý
bydlíte;bydl-í-te
vírO;vír-O
pJEkným;pJEkn-ý-m
nezní;ne-zn-í
micka;mick-a
alp;alp
deziluze;dez-iluz-e
počátku;po-čá-t-k-u
uskutečnit;u-s-kut-eč-n-i-t
nejvíc;nej-víc
rozvíjí;roz-víj-í
nezjišťenými;ne-z-jišť-en-ý-m-i
nezapíXnul;ne-za-píX-nu-l
olizuje;o-liz-u-j-e
fialovým;fial-ov-ý-m
lysá;lys-á
pátek;pát-ek
nemuset;ne-mus-e-t
rozlOčení;roz-lOč-en-í
uspokojivý;u-s-po-koj-iv-ý
jinačí;jin-ač-í
zvrhlým;z-vrh-l-ý-m
zarďela;za-rď-e-l-a
nebožtík;ne-bož-t-ík
vyslýXali;vy-slýX-a-l-i
odříkati;od-řík-a-ti
well;well
výXovJE;vý-Xov-JE
otázka;o-táz-k-a
leťeli;leť-e-l-i
rovnO;rov-n-O
podal;po-d-a-l
hřát;hřá-t
rozkoší;roz-koš-í
burácí;bur-ác-í
Xlapa;Xlap-a
odpušťením;od-pušť-en-í-m
vJEzení;vJez-e-n-í
zesnulého;ze-sn-u-l-é-ho
distrahujeme;dis-trah-u-j-e-me
vesnici;ves-nic-i
trsy;trs-y
zavřít;za-vř-í-t
fialek;fial-ek
nač;na-č
svJEdkové;s-vJEd-k-ové
židli;židl-e
nebeském;neb-e-sk-é-m
poradit;po-rad-i-t
zlatO;zlat-O
záklaďe;zá-klaď-e
vzorem;vzor-e-m
strýce;strýc-e
jaký;jak-ý
detektýv;de-tekt-ýv
Xťel;Xť-e-l
božínku;bož-ín-k-u
kantovJE;kan-ov-JE
řinče;řinč-e
nalézal;na-léz-a-l
stálýX;stál-ý-X
plul;plu-l
jejejej;je-je-jej
krOtit;krOt-i-t
lotsenův;lotsen-ův
procesy;proces-y
balíku;bal-ík-u
pantáty;pan-tát-y
pálku;pál-k-u
telefonního;tele-fon-n-í-ho
sňehu;sňeh-u
sežral;se-žr-a-l
vzdálena;vz-dál-en-a
aminko;amin-k-o
kopyty;kopyt-y
koberci;kober-c-i
protestantském;pro-test-ant-sk-é-m
ďedeček;ďed-eč-ek
čistý;čist-ý
dvorní;dvor-n-í
honičce;hon-i-č-c-e
duXu;duX-u
rozžhaví;roz-žh-av-í
afilozofický;a-filo-zof-ic-k-ý
zatracený;za-trac-en-ý
hmotnému;hmot-n-é-mu
mackenzije;mackenzije
zMŇEnO;z-MŇEn-O
polehčující;po-leh-č-uj-í-c-í
celé;cel-é
nás;n-á-s
rylo;ry-l-o
zaručuje;za-ruč-u-j-e
lístkem;líst-k-e-m
sbírá;s-bír-á
apriorníX;aprior-n-í-X
nevyšel;ne-vy-še-l
umučím;u-muč-í-m
psal;ps-a-l
přirozenO;při-roz-en-O
trpké;trp-k-é
silence;silence
vltava;vltav-a
požehnání;po-žehn-á-n-í
rozuzlení;roz-uzl-en-í
odstrčen;od-strč-en
zřetelem;zř-e-tel-e-m
déle;dél-e
námořník;ná-moř-n-ík
mlíčko;mlíč-k-o
odnesl;od-nes-l
ironije;iron-ij-e
klíč;klíč
ševelí;ševel-í
formosu;formos-u
vtlačena;v-tlač-en-a
potit;pot-i-t
kometo;komet-o
potvory;po-tvor-y
stránka;strán-k-a
samozřejmé;sam-o-zř-ej-m-é
realiťe;real-iť-e
trOfal;trOf-a-l
povrX;po-vrX
rozvinutí;roz-vi-n-u-t-í
hlOposti;hlOp-ost-i
pobudu;po-bud-u
vyslovuje;vy-slov-u-j-e
barynu;baryn-u
pravila;prav-i-l-a
agnosticism;a-gnos-t-ic-ism
hledati;hled-a-ti
pytli;pytl-i
nejposlušňejšího;nej-po-sluš-ň-ej-š-í-ho
třásla;třás-l-a
pst;pst
landové;land-ov-é
vejce;vej-c-e
poslOXejte;po-slOX-ej-te
ledacos;leda-c-o-s
lepší;lep-š-í
kříž;kříž
řečený;řeč-en-ý
termínu;termín-u
ritsXlovy;ritsXl-ov-y
obkladek;ob-klad-ek
nasssekám;na-sssek-á-m
nejlepšíX;nej-lep-š-í-X
mládence;mlád-en-c-e
nebJEžela;ne-bJEž-e-l-a
rozdíly;roz-díl-y
spokojen;s-po-koj-en
utrhnOt;u-trh-nO-t
hodnostní;hod-n-ost-n-í
rozmaXu;roz-maX-u
skládala;s-klád-a-l-a
hle;hle
skutečným;s-kut-eč-n-ý-m
nepříjemná;ne-pří-jem-n-á
tkví;tkv-í
večeři;večeř-i
nálaďe;ná-laď-e
přímo;přím-o
táta;tát-a
čiX;čiX
sebJEhli;se-bJEh-l-i
švadronit;švadron-i-t
zajímavému;za-jím-a-v-é-mu
svolil;s-vol-i-l
nováček;nov-áč-ek
říkával;řík-á-v-a-l
psem;ps-e-m
neklade;ne-klad-e
blahodárným;blah-o-dár-n-ý-m
zakašlal;za-kašl-a-l
uhladit;u-hlad-i-t
hlavJE;hlav-JE
milovali;mil-ova-l-i
macOrek;macOr-ek
lidem;lid-e-m
neinkasoval;ne-in-kas-ova-l
vJEtší;vJEt-š-í
tancovat;tanc-ova-t
nitrný;nitr-n-ý
pJEti;pJEt-i
řemeslem;řemesl-e-m
jitrnic;jitr-nic
roka;rok-a
pravďe;prav-ď-e
osvJEdčování;o-s-vJEd-č-ová-n-í
svJEdky;s-vJEd-k-y
svrašťelým;s-vrašť-e-l-ý-m
prospJEšné;pro-spJEš-n-é
znám;zn-á-m
pečlivJE;peč-l-iv-JE
zkusím;z-kus-í-m
zblízka;z-blíz-k-a
stvoř;s-tvoř
odsOzen;od-sOz-en
skočím;skoč-í-m
tisíci;tisíc-i
mísťe;mísť-e
dobrodružství;dobr-o-druž-stv-í
starosta;star-ost-a
wé;wé
ničema;ni-č-em-a
propásl;pro-pás-l
mocný;moc-n-ý
lety;let-y
bibliotékáX;bibl-io-ték-á-X
zpracováním;z-prac-ová-n-í-m
lstí;lst-í
dostanO;do-sta-n-O
mimoXodem;mimo-Xod-e-m
aeternitatis;aeternitatis
najdO;na-jd-O
vydržet;vy-drž-e-t
umýt;u-mý-t
bohatšího;boh-at-š-í-ho
zbožni;z-bož-n-i
maltO;malt-O
okapu;o-kap-u
dosahuje;do-sah-u-j-e
pořádku;po-řád-k-u
fungovat;fung-ova-t
můžu;můž-u
pojaty;po-j-a-t-y
pronikavý;pro-nik-a-v-ý
kirman;kirman
strašňe;straš-ň-e
hodnotami;hod-n-ot-a-m-i
personál;person-ál
pracují;prac-u-j-í
potvrzena;po-tvrz-en-a
dít;dí-t
ukryl;u-kry-l
projekty;pro-jekt-y
neXuti;ne-Xut-i
kulturní;kult-ur-n-í
dnešní;dneš-n-í
řeřavé;řeř-av-é
plnými;pln-ý-m-i
rozďelit;roz-ďel-i-t
perskýX;pers-k-ý-X
zodpovJEdnost;z-od-po-vJEd-n-ost
svJEtlo;svJEt-l-o
dáma;dám-a
přiznám;při-zn-á-m
zpocenými;z-poc-en-ý-m-i
vkládáme;v-klád-á-me
ubývá;u-bý-v-á
pátá;pát-á
nepadne;ne-pad-n-e
stavy;stav-y
kapička;kap-ič-k-a
mládenče;mlád-en-č-e
nebralo;ne-br-a-l-o
okurkový;okur-k-ov-ý
pot;pot
zkOšky;z-kOš-k-y
příjemné;pří-jem-n-é
revolver;revolver
pyšné;pyš-n-é
karlštejnského;karlštejn-sk-é-ho
anebo;a-nebo
zapisoval;za-pis-ova-l
hesla;hesl-a
vyzradili;vy-z-rad-i-l-i
bohatší;boh-at-š-í
začala;za-č-a-l-a
šťekají;šťek-aj-í
pečenO;peč-en-O
dvéře;dvéř-e
zříká;z-řík-á
pragmatickO;pragm-at-ic-k-O
maminky;mam-in-k-y
přenocoval;pře-noc-ova-l
palubJE;palub-JE
nejčasťejšíX;nej-časť-ej-š-í-X
rado;rad-o
korpusovi;korpus-ovi
čokla;čokl-a
pivem;pi-v-e-m
podívala;po-dív-a-l-a
skočte;skoč-te
idealizující;ideal-iz-uj-í-c-í
potkati;po-tk-a-ti
kOsek;kOs-ek
vylézají;vy-léz-aj-í
důvtipu;dů-vtip-u
koberce;kober-c-e
sledovány;sled-ová-n-y
zbyl;z-by-l
čerXmantský;čerXmant-sk-ý
doopravdy;do-o-prav-d-y
reformovali;re-form-ova-l-i
mApassanta;mApassant-a
žhář;žh-ář
posuzován;po-suz-ová-n
řezníka;řez-n-ík-a
zemi;zem-i
tančil;tanč-i-l
brend;brend
kobercíX;kober-c-í-X
začínala;za-č-ín-a-l-a
zamlaskat;za-mlask-a-t
deseti;deset-i
muži;muž-i
ad;ad
vylez;vy-lez
vnitřní;v-nitř-n-í
idealismu;ideal-ism-u
Xybí;Xyb-í
bohudík;boh-u-dík
voďe;voď-e
kartářek;kart-ář-ek
anďel;anďel
tenderminded;tenderminded
zašťeklo;za-šťek-l-o
literatuře;liter-at-uř-e
času;čas-u
sebrali;se-br-a-l-i
trapiči;trap-i-č-i
dovedl;do-ved-l
jejiX;je-j-i-X
vrXního;vrX-n-í-ho
zámek;zá-mek
naopak;na-o-pak
sestOpila;se-stOp-i-l-a
obtížemi;ob-tíž-e-m-i
zmínky;z-mín-k-y
ajaj;aj-aj
vymaňuje;vy-maň-u-j-e
kočičí;koč-ič-í
bruče;bruč-e
odsOzený;od-sOz-en-ý
hospodářskýX;hospod-ář-sk-ý-X
vJEků;vJEk-ů
počal;po-č-a-l
výtečný;vý-teč-n-ý
přivolává;při-vol-á-v-á
najde;na-jd-e
hubený;hub-en-ý
pravdivO;prav-d-iv-O
nádrž;ná-drž
rusi;rus-i
pustého;pust-é-ho
čimčarují;čimčar-u-j-í
poXutnal;po-Xut-n-a-l
batňovic;batňovic
potrestám;po-trest-á-m
dokořán;do-kořán
čem;č-e-m
památky;památ-k-y
začarovat;za-čar-ova-t
zvláštníX;zvlášt-n-í-X
zab;zab
plňejšího;plň-ej-š-í-ho
neodbytnýX;ne-od-by-t-n-ý-X
opatrovat;o-patr-ova-t
vlaku;vlak-u
sportovní;sport-ov-n-í
pravým;prav-ý-m
vlídnosti;vlíd-n-ost-i
sebevraždu;s-eb-e-vraž-d-a
tlustO;tlust-O
neneXal;ne-neX-a-l
william;william
nastavili;na-stav-i-l-i
lhostejné;lh-o-stej-n-é
domňenky;do-mň-e-n-k-y
pomáhaly;po-máh-a-l-y
kličky;klič-k-y
nejmilejší;nej-mil-ej-š-í
prstem;prst-e-m
hodili;hod-i-l-i
vyrovnán;vy-rov-n-á-n
dceruška;dcer-uš-k-a
nečistýX;ne-čist-ý-X
šmejkal;šmejkal
morálního;morál-n-í-ho
časňe;čas-ň-e
akrobati;akro-bat-i
olakované;o-lak-ova-n-é
poslali;po-sl-a-l-i
vlas;vlas
mávl;máv-l
arménský;armén-sk-ý
žalu;žal-u
zábavy;zá-bav-y
takové;tak-ov-é
svátečního;svát-eč-n-í-ho
b;b
jazyk;jazyk
tuto;t-u-t-o
oheň;oheň
pitšen;pitšen
poctivý;po-ct-i-v-ý
sejkorka;sejkor-k-a
týče;týč-e
srdcem;srd-c-e-m
sáhla;sáh-l-a
sleťely;s-leť-e-l-y
vkusu;v-kus-u
nutit;nut-i-t
přeMŇEní;pře-MŇEn-í
zasahování;za-sah-ová-n-í
nebolí;ne-bol-í
tvoje;t-v-oj-e
duXař;duX-ař
napsal;na-ps-a-l
přiMŇEřená;při-MŇEř-en-á
romány;román-y
nevJEďel;ne-v-JEď-e-l
pozMŇEňují;po-z-MŇEň-u-j-í
naprosté;na-prost-é
rádcové;rád-c-ové
silami;sil-a-m-i
obrácenO;ob-rác-en-O
zdržel;z-drž-e-l
jel;je-l
mladá;mlad-á
temperament;tempera-ment
hlášeno;hláš-en-o
užitku;u-ži-t-k-u
ohavný;ohav-n-ý
pOhým;pOh-ý-m
dřívJEjší;dřív-JEj-š-í
obraznosti;ob-raz-n-ost-i
vnitřním;v-nitř-n-í-m
zdálo;z-dá-l-o
bohaté;boh-at-é
synovec;syn-ov-ec
loďstva;loď-stv-a
stavJEl;stav-JE-l
proXázku;pro-Xáz-k-u
neveselO;ne-vesel-O
zvědavý;z-věd-a-v-ý
přesňe;přesň-e
fyzický;fyz-ic-k-ý
přivábit;při-váb-i-t
vodolova;vodolov-a
hromádka;hromád-k-a
povolili;po-vol-i-l-i
zápraží;zá-praž-í
kvá;kvá
pianissimo;pian-issim-o
přestanu;pře-sta-n-u
hronova;hronov-a
šateX;šat-e-X
písničku;pí-sn-ič-k-u
gown;gown
ztropí;z-trop-í
hergot;hergot
benthama;bentham-a
slepánek;slepánek
cestu;cest-u
upravili;u-prav-i-l-i
sebemenší;s-eb-e-men-š-í
lucernami;lucer-n-a-m-i
návody;ná-vod-y
pánubohu;pán-u-boh-u
brašnáře;brašn-ář-e
myslet;mysl-e-t
zeMŇE;zeMŇ-E
odsOvá;od-sO-v-á
hotovO;hotov-O
natolik;na-tolik
vyhrkl;vy-hrk-l
samoty;sam-ot-y
zahrnOt;za-hrn-O-t
podpírala;pod-pír-a-l-a
záležitost;zá-lež-it-ost
dílo;díl-o
smysly;s-mysl-y
oholenO;o-hol-en-O
jsO;js-O
nemohl;ne-moh-l
ostwald;ostwald
hodnotíce;hod-n-ot-íc-e
vzor;v-zor
přijít;při-jí-t
ženské;žen-sk-é
vJEdoMŇE;vJEd-oMŇ-E
subjekt;sub-jekt
vlády;vlád-y
úřad;ú-řad
záMŇEr;zá-MŇEr
zloďejčinO;zl-o-ďej-č-in-O
zapletla;za-plet-l-a
žhavé;žh-av-é
barvili;barv-i-l-i
usssmrtím;u-sss-mr-t-í-m
hvJEzdáře;hvJEzd-ář-e
úzkostí;úz-k-ost-í
vzhledem;vz-hled-em
trhovník;trh-ov-n-ík
taškáři;taš-k-ář-i
zAzlovaly;zA-zl-ova-l-y
smyslové;s-mysl-ov-é
nedáš;ne-d-á-š
čekám;ček-á-m
byty;by-t-y
ťelem;ťel-e-m
dodatečňe;do-d-a-t-eč-ň-e
obrací;ob-rac-í
hrubec;hrub-ec
odhalení;od-hal-en-í
tradice;trad-ic-e
hlasu;hlas-u
definovati;de-fin-ova-ti
sázky;sáz-k-y
klavírní;klavír-n-í
oteckého;otec-k-é-ho
mrtvé;mr-tv-é
úvahu;ú-vah-u
přátelství;přá-tel-stv-í
víťezoslavňe;vítěz-o-slav-ň-e
růstem;růst-e-m
netrOfá;ne-trOf-á
vyzpovídám;vy-z-po-víd-á-m
nerozhodujeme;ne-roz-hod-u-j-e-me
nejtenčím;nej-ten-č-í-m
dopisy;do-pis-y
muka;muk-a
jestliže;jest-li-že
společnosti;s-pol-eč-n-ost-i
drkotal;drk-ot-a-l
syXrova;syXrov-a
leskli;lesk-l-i
lékem;lék-e-m
krávO;kráv-O
představit;před-stav-i-t
takový;tak-ov-ý
vésti;vés-ti
nAčí;n-Ač-í
sál;sál
ležet;lež-e-t
třel;tř-e-l
ďelají;ďel-aj-í
stříbrné;stříbr-n-é
tetičku;tet-ič-k-u
lilií;lili-í
přikývl;při-kýv-l
neposleXl;ne-po-sleX-l
stará;star-á
jedinec;jedin-ec
roztříďení;roz-tříď-en-í
díťeti;díť-et-i
díry;dír-y
složitá;s-lož-it-á
příkře;příkř-e
drápala;dráp-a-l-a
zlosyna;zl-o-syn-a
lidský;lid-sk-ý
roh;roh
samotným;sam-ot-n-ý-m
Xceme;Xc-e-me
nečesal;ne-čes-a-l
čubičku;čub-ič-k-u
trestancům;trest-a-n-c-ů-m
ramšla;ramšl-a
ni;n-i
hadovi;had-ovi
vJEdy;vJEd-y
odtud;od-t-ud
myslíte;mysl-í-te
smyrny;smyrn-y
nai;nai
aktovce;akt-ov-c-e
odejet;ode-je-t
pracovati;prac-ova-ti
víme;v-í-me
rozvážil;roz-váž-i-l
regulovaný;reg-ul-ova-n-ý
shodO;s-hod-O
zubeX;zub-e-X
výrostek;vý-rost-ek
ferbla;ferbl-a
spletla;s-plet-l-a
zápasí;zá-pas-í
žalářník;žal-ář-n-ík
smrtelném;s-mr-tel-n-é-m
uznává;u-zn-á-v-á
zčásti;z-část-i
vogt;vogt
trpJElivostí;trp-JE-l-iv-ost-í
řekne;řek-n-e
zemřelýX;ze-mř-e-l-ý-X
hrůzu;hrůz-u
kůlničku;kůl-n-ič-k-u
maličká;mal-ič-k-á
nevelký;ne-vel-k-ý
úspJEXů;ú-spJEX-ů
potápJEjící;po-táp-JE-j-í-c-í
jimi;j-i-m-i
ryXleji;ryXl-eji
hrníčků;hrn-íč-k-ů
obO;ob-O
zdajem;zdaj-e-m
připustíme;při-pust-í-me
veselý;vesel-ý
maKSim;maKSim
prospJEXovým;pro-spJEX-ov-ý-m
pokdy;po-kd-y
niX;n-i-X
bojíX;boj-í-X
žába;žáb-a
symbol;symbol
pomáhali;po-máh-a-l-i
bJEhat;bJEh-a-t
zelené;zelen-é
obXodu;ob-Xod-u
našla;na-š-l-a
nosatO;nos-at-O
fantazii;fantaz-i-i
narodili;na-rod-i-l-i
kvJEtinko;kvJEt-in-k-o
zavazovati;za-vaz-ova-ti
kučírovat;kuríč-ova-t
instrumenty;instru-ment-y
dřímal;dřím-a-l
zvenčí;z-ven-č-í
seďelo;seď-e-l-o
vloží;v-lož-í
podrobňe;po-drob-ň-e
odvrat;od-vrat
zvoní;zvon-í
liliovýX;lili-ov-ý-X
dejvic;dejvic
morálce;morál-c-e
plakal;plak-a-l
podmínkO;pod-mín-k-O
řekly;řek-l-y
vazby;vaz-b-y
neXápaje;ne-Xáp-aj-e
lideX;lid-e-X
matOcí;mat-O-c-í
pobJEhlíka;po-bJEh-l-ík-a
jménem;jmén-e-m
rádi;rád-i
vtírá;v-tír-á
nástroj;ná-stroj
kvJEt;kvJEt
vedl;ved-l
bídáku;bíd-ák-u
druzí;druz-í
bleXu;bleX-u
zázračná;zá-zrač-n-á
dobra;dobr-a
prostředků;pro-střed-k-ů
daleký;dal-ek-ý
známýX;zn-á-m-ý-X
potřeboval;po-třeb-ova-l
vlasu;vlas-u
dohody;do-hod-y
nízké;níz-k-é
ráhna;ráh-n-a
střílí;stříl-í
tOze;tOz-e
úzkostňe;úz-k-ost-ň-e
úžasného;ú-žas-n-é-ho
nejistotO;ne-jist-ot-O
pekle;pek-l-e
relativitu;rel-at-iv-it-u
prospJEšná;pro-spJEš-n-á
hardyho;hardy-ho
dřevJEné;dřev-JEn-é
propadnu;pro-pad-n-u
přerývaňe;pře-rý-v-a-ň-e
sXodů;s-Xod-ů
major;major
čočka;čoč-k-a
tos;t-o-s
civile;civil-e
promlOvá;pro-mlOv-á
rodinná;rod-in-n-á
kOkej;kOk-ej
hunt;hunt
dovedli;do-ved-l-i
nepolepšil;ne-po-lep-š-i-l
neXytli;ne-Xyt-l-i
revírní;revír-n-í
opírá;o-pír-á
koncert;koncert
kdybys;kd-y-by-s
vskočili;v-skoč-i-l-i
butera;buter-a
rvačku;rv-a-č-k-u
svJEšenO;s-vJEš-en-O
spočítáte;s-po-čít-á-te
pozůstává;po-zů-stá-v-á
tlOkla;tlOk-l-a
vzácňejšíX;vzác-ň-ej-š-í-X
rozzářily;roz-zář-i-l-y
únavO;ú-nav-O
nepromluvil;ne-pro-mluv-i-l
přetrvá;pře-trv-á
šulitkovi;šulitk-ovi
františek;frant-iš-ek
vojnu;voj-n-u
čepelka;čepelk-a
hotelu;hotel-u
počnu;po-č-n-u
turisti;tur-ist-i
neXťeli;ne-Xť-e-l-i
obdařil;ob-dař-i-l
mrzla;mrz-l-a
slona;slon-a
výrazů;vý-raz-ů
notářem;not-ář-e-m
vyleťela;vy-leť-e-l-a
nezavřel;ne-za-vř-e-l
dneX;dn-e-X
podržte;po-drž-te
volají;vol-aj-í
vrňet;vrň-e-t
vandrovního;vandr-ov-n-í-ho
zahnala;za-hn-a-l-a
poXytali;po-Xyt-a-l-i
sOsedko;sO-sed-k-o
poprosil;po-pros-i-l
styk;s-tyk
pohnutím;po-hn-u-t-í-m
znásilňujeme;z-ná-sil-ň-u-j-e-me
policajt;policajt
lízal;líz-a-l
dávnými;dáv-n-ý-m-i
cele;cel-e
idejí;idej-í
neodporuje;ne-od-por-u-j-e
definovaly;de-fin-ova-l-y
hluboce;hlu-oc-e
přivoďeny;při-voď-en-y
Xopiti;Xop-i-ti
mrkat;mrk-a-t
vyjel;vy-je-l
původu;pů-vod-u
stejní;stej-n-í
funkce;funk-c-e
sedl;sed-l
příbuzné;příbuz-n-é
zasnObil;za-snOb-i-l
svíčkami;svíč-k-a-m-i
dni;dn-i
zřítí;z-řít-í
užším;už-š-í-m
dovedu;do-ved-u
pokazil;po-kaz-i-l
fotografije;foto-graf-ij-e
svítí;svít-í
polyteism;poly-te-ism
dávají;d-á-v-aj-í
udavač;u-d-a-v-a-č
anďelí;anďel-í
mohl;moh-l
človíčka;človíč-k-a
husu;hus-u
míru;mír-u
sXovala;s-Xov-a-l-a
úvahO;ú-vah-O
XrXlaje;XrXl-aj-e
střelecký;střel-ec-k-ý
jíst;jís-t
egypt;egypt
dešti;dešt-i
ňekoho;ňe-k-o-ho
bOďe;bOď-e
lupič;lup-i-č
samýX;sam-ý-X
humanistické;human-ist-ic-k-é
biarritzi;biarritz-i
přetržení;pře-trž-en-í
všem;vš-e-m
marcovi;marc-ovi
jektaje;jek-t-aj-e
vůbec;vůbec
usvJEdčovati;u-s-vJEd-č-ova-ti
vysokánské;vys-ok-án-sk-é
informace;inform-ac-e
nakloňen;na-kloň-en
zbytečná;z-by-t-eč-n-á
Xuť;Xuť
jevů;jev-ů
prs;prs
odpovJEď;od-po-vJEď
sOmraku;sO-mrak-u
přizpůsobivost;při-z-pů-sob-i-v-ost
halíře;halíř-e
tajným;taj-n-ý-m
přísahami;pří-sah-a-m-i
potvrditelné;po-tvrd-i-tel-n-é
dodávaje;do-d-á-v-aj-e
ovcí;ovc-í
vyhrkla;vy-hrk-l-a
nejlíp;nej-líp
sto;st-o
nelitoval;ne-lit-ova-l
klamným;klam-n-ý-m
nejžhavJEjší;nej-žh-av-JEj-š-í
vrťel;vrť-e-l
vesmír;vesmír
následkem;ná-sled-k-e-m
počátkem;po-čá-t-k-e-m
plesnivého;plesn-iv-é-ho
aféry;afér-y
lnutí;ln-u-t-í
vaškovo;vašk-ov-o
napravo;na-prav-o
zamávat;za-máv-a-t
dnes;dnes
falešné;faleš-n-é
zalepila;za-lep-i-l-a
dej;d-e-j
ovce;ovc-e
odďeluje;od-ďel-u-j-e
praXu;praX-u
uďelalo;u-ďel-a-l-o
smrtelnými;s-mr-tel-n-ý-m-i
skáče;skáč-e
menším;men-š-í-m
spontánnosti;spontán-n-ost-i
kočkO;koč-k-O
praXkujóne;praX-kujón-e
zaplatit;za-plat-i-t
antonína;antonín-a
Xoval;Xov-a-l
svJEdci;s-vJEd-c-i
ťežkého;ťěž-k-é-ho
domova;dom-ov-a
neďele;ne-ďel-e
činnO;čin-n-O
alarmujte;alarm-u-j-te
kojence;koj-en-c-e
zvyšují;z-vyš-u-j-í
slOpoví;slOp-ov-í
novopozitivism;nov-o-pozit-iv-ism
filiace;fili-ac-e
křečoviťe;křeč-ov-i-ť-e
ďelání;ďel-á-n-í
lOce;lOc-e
rusy;rus-y
nemohu;ne-moh-u
protekci;pro-tek-c-i
zrození;z-roz-en-í
našem;n-a-š-e-m
stačil;stač-i-l
arabský;arab-sk-ý
životními;ži-v-ot-n-í-m-i
zdřímla;z-dřím-l-a
sešňerován;se-šňer-ová-n
byXom;by-Xom
správcové;s-práv-c-ové
vJErná;vJEr-n-á
píská;písk-á
skákal;skák-a-l
